id,title,original_air_date,season,number_in_season,us_viewers_in_millions,imdb_rating,image_url,video_url
285,Weekend at Burnsie's,4/7/02,13,16,12.5,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/131/483/weekend_at_burnsies.jpg,http://www.simpsonsworld.com/video/310448195762
286,Gump Roast,4/21/02,13,17,12.3,5.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/89/1023/gump_roast.jpg,http://www.simpsonsworld.com/video/302888515845
287,I Am Furious (Yellow),4/28/02,13,18,12.4,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/85/619/i_am_furious_yellow.jpg,http://www.simpsonsworld.com/video/302883907921
288,The Sweetest Apu,5/5/02,13,19,11.8,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/352/275/the_sweetest_apu.jpg,http://www.simpsonsworld.com/video/288131139601
289,Little Girl in the Big Ten,5/12/02,13,20,11.2,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/101/702/little_girl_in_the_big_ten.jpg,http://www.simpsonsworld.com/video/310416963509
290,The Frying Game,5/19/02,13,21,10.8,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/970/531/the_frying_game.jpg,http://www.simpsonsworld.com/video/301664323751
291,Poppa's Got a Brand New Badge,5/22/02,13,22,8.2,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/82/691/poppas_got_a_brand_new_badge.jpg,http://www.simpsonsworld.com/video/302880835773
292,Treehouse of Horror XIII,11/3/02,14,1,16.7,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/106/391/Simpsons_Treehouse_of_Horror_XIII.jpg,http://www.simpsonsworld.com/video/221301315863
293,How I Spent My Strummer Vacation,11/10/02,14,2,12.5,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/98/583/Simpsons_14_05.jpg,http://www.simpsonsworld.com/video/221293123693
294,Bart vs. Lisa vs. the Third Grade,11/17/02,14,3,13.3,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/150/335/Simpsons_Bart_vsLisa_vs3rd_Grade.jpg,http://www.simpsonsworld.com/video/221347395722
295,Large Marge,11/24/02,14,4,17.4,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/155/215/Simpsons_1404_HD_Clean_AUTH_movie_1280x720_223612995854.jpg,http://www.simpsonsworld.com/video/221352515586
296,Helter Shelter,12/1/02,14,5,15.1,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/189/399/Simpsons_1405_HD_Clean_AUTH_movie_1280x720_223620163549.jpg,http://www.simpsonsworld.com/video/221388355650
297,The Great Louse Detective,12/15/02,14,6,15.5,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/264/598/Simpsons_The_Great_Louse_Detective.jpg,http://www.simpsonsworld.com/video/221467203550
298,Special Edna,1/5/03,14,7,15,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/265/74/Simpsons_14_07.jpg,http://www.simpsonsworld.com/video/221467715532
299,The Dad Who Knew Too Little,1/12/03,14,8,12.8,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/326/110/Simpsons_14_08.jpg,http://www.simpsonsworld.com/video/221531715548
300,The Strong Arms of the Ma,2/2/03,14,9,15.4,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/327/87/Simpsons_The_Strong_Arms_of_The_Ma.jpg,http://www.simpsonsworld.com/video/221532739689
301,Pray Anything,2/9/03,14,10,13.4,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/321/231/Simpsons_Pray_Anything.jpg,http://www.simpsonsworld.com/video/221526595805
302,Barting Over,2/16/03,14,11,21.3,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/482/867/Simpsons_Barting_Over.jpg,http://www.simpsonsworld.com/video/221696067841
303,I'm Spelling As Fast As I Can,2/16/03,14,12,22.1,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/485/295/Simpsons_Im_Spelling_as_Fast_as_I_Can.jpg,http://www.simpsonsworld.com/video/221698627830
304,A Star Is Born-Again,3/2/03,14,13,14.4,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/481/891/Simpsons_A_Star_is_BornAgain.jpg,http://www.simpsonsworld.com/video/221695043703
305,Mr. Spritz Goes to Washington,3/9/03,14,14,14.4,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/486/271/Simpsons_14_14.jpg,http://www.simpsonsworld.com/video/221699651686
306,C.E.D'oh,3/16/03,14,15,13,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/482/867/Simpsons_14_15.jpg,http://www.simpsonsworld.com/video/221696067982
307,'Scuse Me While I Miss the Sky,3/30/03,14,16,12.6,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/487/247/Simpsons_Scuse_Me_While_I_Miss_The_Sky.jpg,http://www.simpsonsworld.com/video/221700675635
308,Three Gays of the Condo,4/13/03,14,17,12.02,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/485/795/Simpsons_Three_Gays_of_the_Condo.jpg,http://www.simpsonsworld.com/video/221699139984
309,"Dude, Where's My Ranch?",4/27/03,14,18,11.71,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/486/770/Simpsons_14_18.jpg,http://www.simpsonsworld.com/video/221700163549
310,Old Yeller-Belly,5/4/03,14,19,11.59,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/487/746/Simpsons_Old_YellerBelly.jpg,http://www.simpsonsworld.com/video/221701187546
311,"Brake My Wife, Please",5/11/03,14,20,10.56,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/971/99/Simpsons_Brake_My_Wife.jpg,http://www.simpsonsworld.com/video/229724227970
312,The Bart of War,5/18/03,14,21,12.1,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/977/955/Simpsons_The_Bart_of_War.jpg,http://www.simpsonsworld.com/video/229731395601
313,Moe Baby Blues,5/18/03,14,22,13.44,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/744/123/Simpsons_Moe_Baby_Blues.jpg,http://www.simpsonsworld.com/video/228412483812
314,Treehouse of Horror XIV,11/2/03,15,1,16.22,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/741/271/Treehouse_of_Horror_XIV.jpg,http://www.simpsonsworld.com/video/227335747784
315,My Mother the Carjacker,11/9/03,15,2,12.4,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/745/175/My_Mother_the_Carjacker.jpg,http://www.simpsonsworld.com/video/227339843917
316,The President Wore Pearls,11/16/03,15,3,12.7,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/752/1007/The_President_Wore_Pearls.jpg,http://www.simpsonsworld.com/video/227348035643
317,The Regina Monologues,11/23/03,15,4,12.2,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/753/983/The_Regina_Monologues.jpg,http://www.simpsonsworld.com/video/227349059824
318,The Fat and the Furriest,11/30/03,15,5,11.7,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/760/314/The_Fat_and_the_Furriest.jpg,http://www.simpsonsworld.com/video/227355715580
319,Today I Am a Clown,12/7/03,15,6,10.5,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/764/718/Today_I_am_a_Clown.jpg,http://www.simpsonsworld.com/video/227360323557
320,'Tis the Fifteenth Season,12/14/03,15,7,11.3,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/769/99/Simpsons_15_07.jpg,http://www.simpsonsworld.com/video/227364931670
321,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",1/4/04,15,8,12,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/773/3/Marge_vs.jpg,http://www.simpsonsworld.com/video/227369027832
322,"I, (Annoyed Grunt)-bot",1/11/04,15,9,16.3,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/780/334/I_Annoyed_Grunt_Bot.jpg,http://www.simpsonsworld.com/video/227376707538
323,Diatribe of a Mad Housewife,1/25/04,15,10,10.6,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/782/287/Diatribe_of_a_Mad_Housewife.jpg,http://www.simpsonsworld.com/video/227378755925
324,Margical History Tour,2/8/04,15,11,8.9,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/790/94/Margical_History_Tour.jpg,http://www.simpsonsworld.com/video/227386947567
325,Milhouse Doesn't Live Here Anymore,2/15/04,15,12,9.4,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/794/999/Milhouse_Doesn't_Live_Here_Anymore.jpg,http://www.simpsonsworld.com/video/227392067706
326,Smart & Smarter,2/22/04,15,13,12.6,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/596/599/Simpsons_15_14.jpg,http://www.simpsonsworld.com/video/229331523584
327,The Ziff Who Came to Dinner,3/14/04,15,14,10.7,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/827/707/The_Ziff_Who_Came_to_Dinner.jpg,http://www.simpsonsworld.com/video/227426371786
328,Co-Dependents' Day,3/21/04,15,15,11.2,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/801/831/Co_Dependents_Day.jpg,http://www.simpsonsworld.com/video/227399235673
329,The Wandering Juvie,3/28/04,15,16,10.5,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/804/759/The_Wandering_Juvie.jpg,http://www.simpsonsworld.com/video/227402307606
330,My Big Fat Geek Wedding,4/18/04,15,17,9.2,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/824/778/My_Big_Fat_Geek_Wedding.jpg,http://www.simpsonsworld.com/video/227423299561
331,Catch 'Em If You Can,4/25/04,15,18,9.3,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/817/447/Simpsons_15_19.jpg,http://www.simpsonsworld.com/video/227415619717
332,Simple Simpson,5/2/04,15,19,9.5,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/733/463/Simple_Simpson.jpg,http://www.simpsonsworld.com/video/227327555884
333,The Way We Weren't,5/9/04,15,20,6.6,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/735/915/The_Way_We_Werent.jpg,http://www.simpsonsworld.com/video/227330115859
334,Bart-Mangled Banner,5/16/04,15,21,8.7,6.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/812/567/Bart_Mangled_Banner.jpg,http://www.simpsonsworld.com/video/227410499679
335,Fraudcast News,5/23/04,15,22,9.2,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/807/687/Fraudcast_News.jpg,http://www.simpsonsworld.com/video/227405379707
336,Treehouse of Horror XV,11/7/04,16,1,11.29,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/113/215/Treehouse_of_Horror_XV.jpg,http://www.simpsonsworld.com/video/256741955834
337,All's Fair in Oven War,11/14/04,16,2,11.64,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/136/587/Alls_Fair_in_Oven_War.jpg,http://www.simpsonsworld.com/video/257840195722
338,Sleeping with the Enemy,11/21/04,16,3,9.95,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/135/187/Sleeping_with_the_Enemy.jpg,http://www.simpsonsworld.com/video/256764995911
339,She Used to Be My Girl,12/5/04,16,4,10.81,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/124/450/She_Used_to_be_My_Girl.jpg,http://www.simpsonsworld.com/video/256753731544
340,Fat Man and Little Boy,12/12/04,16,5,10.31,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/129/831/Fat_Man_and_Little_Roy.jpg,http://www.simpsonsworld.com/video/256759363799
341,Midnight Rx,1/16/05,16,6,8.11,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/138/115/Simpsons_16_01.jpg,http://www.simpsonsworld.com/video/256768067710
342,Mommie Beerest,1/30/05,16,7,9.97,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/175/726/Mommie_Beerest.jpg,http://www.simpsonsworld.com/video/256807491582
343,Homer and Ned's Hail Mary Pass,2/6/05,16,8,23.07,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/181/583/Homer_and_Neds_Hail_Mary_Pass.jpg,http://www.simpsonsworld.com/video/256813635887
344,Pranksta Rap,2/13/05,16,9,8.01,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/166/943/Pranksta_Rap.jpg,http://www.simpsonsworld.com/video/256798275935
345,There's Something About Marrying,2/20/05,16,10,10.39,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/189/891/Theres_Something_About_Marrying.jpg,http://www.simpsonsworld.com/video/256822339660
346,On a Clear Day I Can't See My Sister,3/6/05,16,11,10.39,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/193/295/Simpsons_16_11.jpg,http://www.simpsonsworld.com/video/256825923849
347,Goo Goo Gai Pan,3/13/05,16,12,10.28,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/279/698/Simpsons_16_12.jpg,http://www.simpsonsworld.com/video/264432707575
348,Mobile Homer,3/20/05,16,13,8.49,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/279/699/Mobile_Homer.jpg,http://www.simpsonsworld.com/video/264432707841
349,The Seven-Beer Snitch,4/3/05,16,14,7.48,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/953/827/The_Seven_Beer_Snitch.jpg,http://www.simpsonsworld.com/video/260844611804
350,Future-Drama,4/17/05,16,15,8.31,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/950/399/Future_Drama.jpg,http://www.simpsonsworld.com/video/260841027999
351,Don't Fear the Roofer,5/1/05,16,16,11.92,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/945/19/Dont_Fear_the_Roofer.jpg,http://www.simpsonsworld.com/video/260835395771
352,The Heartbroke Kid,5/1/05,16,17,10.79,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/64/859/The_Heartbroke_Kid.jpg,http://www.simpsonsworld.com/video/264207427808
353,A Star Is Torn,5/8/05,16,18,8.72,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/69/239/A_Star_is_Torn.jpg,http://www.simpsonsworld.com/video/264212035982
354,Thank God It's Doomsday,5/8/05,16,19,10.05,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/74/119/Thank_God_Its_Doomsday.jpg,http://www.simpsonsworld.com/video/264217155650
355,Home Away from Homer,5/15/05,16,20,8.17,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/401/771/Simpsons_16_21.jpg,http://www.simpsonsworld.com/video/264560707993
356,"The Father, the Son, and the Holy Guest Star",5/15/05,16,21,9.69,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/301/171/The_Father_the_Son_and_the_Holy_Guest_Star.jpg,http://www.simpsonsworld.com/video/264455235845
357,The Bonfire of the Manatees,9/11/05,17,1,11.1,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/737/99/bonfire_manatees.jpg,http://www.simpsonsworld.com/video/273502275982
358,The Girl Who Slept Too Little,9/18/05,17,2,9.79,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/73/231/the_girl_slept.jpg,http://www.simpsonsworld.com/video/277101123962
359,Milhouse of Sand and Fog,9/25/05,17,3,10.19,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/741/3/milhouse_sand_fog.jpg,http://www.simpsonsworld.com/video/273506371834
360,Treehouse of Horror XVI,11/6/05,17,4,11.63,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/149/51/treehouse_horror.jpg,http://www.simpsonsworld.com/video/310466627927
361,Marge's Son Poisoning,11/13/05,17,5,11.4,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/566/747/marges_son_poison.jpg,http://www.simpsonsworld.com/video/279766083701
362,See Homer Run,11/20/05,17,6,10.3,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/746/382/See_homer_run.jpg,http://www.simpsonsworld.com/video/273512003506
363,The Last of the Red Hat Mamas,11/27/05,17,7,11.46,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/570/651/the_last_of_red_hat.jpg,http://www.simpsonsworld.com/video/279770179721
364,The Italian Bob,12/11/05,17,8,10.39,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/224/550/Simpsons_17_09.jpg,http://www.simpsonsworld.com/video/256858691577
365,Simpsons Christmas Stories,12/18/05,17,9,9.8,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/249/951/simpsons_christmas.jpg,http://www.simpsonsworld.com/video/256885315702
366,Homer's Paternity Coot,1/8/06,17,10,10.1,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/576/7/homers_paternity_coot.jpg,http://www.simpsonsworld.com/video/279775811924
367,We're on the Road to D'ohwhere,1/29/06,17,11,9.04,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/165/167/were_on_the_road.jpg,http://www.simpsonsworld.com/video/310483523720
368,My Fair Laddy,2/26/06,17,12,9.51,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/78/982/Simpsons_17_12.jpg,http://www.simpsonsworld.com/video/307171907536
369,The Seemingly Never-Ending Story,3/12/06,17,13,9.72,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/79/87/the_seemingly_never_ending.jpg,http://www.simpsonsworld.com/video/277107267767
370,Bart Has Two Mommies,3/19/06,17,14,8.75,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/84/966/bart_has_two_mommies.jpg,http://www.simpsonsworld.com/video/277113411511
371,"Homer Simpson, This Is Your Wife",3/26/06,17,15,10.09,6.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/90/322/homer_simpsons_this_is_your_wife.jpg,http://www.simpsonsworld.com/video/277119043544
372,Million-Dollar Abie,4/2/06,17,16,7.83,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/851/995/million_dollar_abie.jpg,http://www.simpsonsworld.com/video/292950083730
373,"Kiss Kiss, Bang Bangalore",4/9/06,17,17,8.2,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/276/903/kiss_kiss_bang_bangalore.jpg,http://www.simpsonsworld.com/video/283757123904
374,The Wettest Stories Ever Told,4/23/06,17,18,7.04,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/171/23/the_wettest_stories_ever_told.jpg,http://www.simpsonsworld.com/video/310489667660
375,Girls Just Want to Have Sums,4/30/06,17,19,8.7,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/537/823/girls_just_want_to_have_sums.jpg,http://www.simpsonsworld.com/video/274367043639
376,Regarding Margie,5/7/06,17,20,8.5,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/96/178/regardgin_marge.jpg,http://www.simpsonsworld.com/video/277125187506
377,The Monkey Suit,5/14/06,17,21,8.3,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/98/131/the_monkey_suit.jpg,http://www.simpsonsworld.com/video/277127235959
378,Marge and Homer Turn a Couple Play,5/21/06,17,22,8.23,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/856/874/Simpsons_17_22.jpg,http://www.simpsonsworld.com/video/292955203576
379,"The Mook, the Chef, the Wife and Her Homer",9/10/06,18,1,11.5,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/860/778/the_mook_the_chef.jpg,http://www.simpsonsworld.com/video/292959299559
380,Jazzy and the Pussycats,9/17/06,18,2,8.94,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/771/599/jazzy_and_the_pussycats.jpg,http://www.simpsonsworld.com/video/283202115995
381,"Please Homer, Don't Hammer 'Em",9/24/06,18,3,9.72,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/280/307/please_homer_dont_hammer.jpg,http://www.simpsonsworld.com/video/283760707876
382,Treehouse of Horror XVII,11/5/06,18,4,10.43,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/73/407/treehouse_horror.jpg,http://www.simpsonsworld.com/video/302871107984
383,G.I. (Annoyed Grunt),11/12/06,18,5,11.43,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/655/383/G.I..jpg,http://www.simpsonsworld.com/video/283080259896
384,Moe'N'a Lisa,11/19/06,18,6,9.31,6.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/74/579/Simpsons_18_04.jpg,http://www.simpsonsworld.com/video/307167299594
385,Ice Cream of Margie (with the Light Blue Hair),11/26/06,18,7,10.9,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/843/686/ice_cream_of_margie.jpg,http://www.simpsonsworld.com/video/292941379558
386,The Haw-Hawed Couple,12/10/06,18,8,8.29,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/584/815/the_haw_hawed.jpg,http://www.simpsonsworld.com/video/279785027791
387,"Kill Gil, Volumes I & II",12/17/06,18,9,8.96,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/593/99/kill_gil.jpg,http://www.simpsonsworld.com/video/279793731867
388,The Wife Aquatic,1/7/07,18,10,13.9,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/284/210/the_wife_aquatic.jpg,http://www.simpsonsworld.com/video/283764803572
389,Revenge Is a Dish Best Served Three Times,1/28/07,18,11,8.09,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/309/111/revenge_is_a_dish_best.jpg,http://www.simpsonsworld.com/video/283790915851
390,Little Big Girl,2/11/07,18,12,8.27,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/145/147/Simpsons_18_11_Little_Big_Girl.jpg,http://www.simpsonsworld.com/video/310462531619
391,Springfield Up,2/18/07,18,13,8.8,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/78/786/Simpsons_18_14.jpg,http://www.simpsonsworld.com/video/302876739533
392,Yokel Chords,3/4/07,18,14,9.09,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/82/386/Simpsons_18_16_Yokel_Cords.jpg,http://www.simpsonsworld.com/video/307175491532
393,Rome-Old and Juli-Eh,3/11/07,18,15,8.98,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/70/479/rome_oh_and_julie_eh.jpg,http://www.simpsonsworld.com/video/302868035943
394,Homerazzi,3/25/07,18,16,6.91,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/863/707/homerazzi.jpg,http://www.simpsonsworld.com/video/292962371807
395,Marge Gamer,4/22/07,18,17,6.4,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/11/219/Simpsons_18_17_Marge_Gamer_1280x720_335181891611.jpg,http://www.simpsonsworld.com/video/277036099916
396,The Boys of Bummer,4/29/07,18,18,7.57,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/597/1003/the_boys_of_bummer.jpg,http://www.simpsonsworld.com/video/279798851587
397,Crook and Ladder,5/6/07,18,19,7.72,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/172/499/crook_and_ladder.jpg,http://www.simpsonsworld.com/video/310491203943
398,Stop! Or My Dog Will Shoot,5/13/07,18,20,6.48,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/68/527/stop_or_my_dog_will_shoot.jpg,http://www.simpsonsworld.com/video/302865987860
399,24 Minutes,5/20/07,18,21,9.8,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/865/158/Simpsons_18_21_24_minutes_1280x720_335187523533.jpg,http://www.simpsonsworld.com/video/292963907577
400,You Kent Always Say What You Want,5/20/07,18,22,9.8,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/62/671/you_kent_always_say.jpg,http://www.simpsonsworld.com/video/302859843984
401,He Loves to Fly and He D'ohs,9/23/07,19,1,9.7,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/845/639/he_loves_to_fly_and_he_dohs.jpg,http://www.simpsonsworld.com/video/292943427892
402,The Homer of Seville,9/30/07,19,2,8.4,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/584/299/the_homner_of_seville.jpg,http://www.simpsonsworld.com/video/350651459856
403,Midnight Towboy,10/7/07,19,3,7.7,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/869/63/midnight_towboy.jpg,http://www.simpsonsworld.com/video/292968003585
404,I Don't Wanna Know Why the Caged Bird Sings,10/14/07,19,4,8.8,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/138/815/i_dont_wana_know_why_cage.jpg,http://www.simpsonsworld.com/video/310455875747
405,Treehouse of Horror XVIII,11/4/07,19,5,11.7,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/55/339/treehouse.jpg,http://www.simpsonsworld.com/video/302852163741
406,Little Orphan Millie,11/11/07,19,6,10.57,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/58/767/little_orphan_millie.jpg,http://www.simpsonsworld.com/video/302855747799
407,Husbands and Knives,11/18/07,19,7,10.5,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/542/258/husbands_and_knives.jpg,http://www.simpsonsworld.com/video/294772803561
408,Funeral for a Fiend,11/25/07,19,8,9,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/141/743/funeral_for_a_fiend.jpg,http://www.simpsonsworld.com/video/310458947589
409,Eternal Moonshine of the Simpson Mind,12/16/07,19,9,10.15,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/50/959/eternal_moonshine_of_simpsons_mind.jpg,http://www.simpsonsworld.com/video/302847555877
410,E Pluribus Wiggum,1/6/08,19,10,8.2,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/85/814/E_pluribis_wiggum.jpg,http://www.simpsonsworld.com/video/307179075535
411,That '90s Show,1/27/08,19,11,7.6,6.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/87/799/that_90s_show.jpg,http://www.simpsonsworld.com/video/299664963588
412,"Love, Springfieldian Style",2/17/08,19,12,7.81,6.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/153/455/love_springfield_style.jpg,http://www.simpsonsworld.com/video/310471235766
413,The Debarted,3/2/08,19,13,8.18,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/52/911/the_debarted.jpg,http://www.simpsonsworld.com/video/302849603730
414,Dial 'N' for Nerder,3/9/08,19,14,7.3,7.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/52/411/dial_N_for_nuerder.jpg,http://www.simpsonsworld.com/video/302849091724
415,Smoke on the Daughter,3/30/08,19,15,7.1,6.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/159/310/smoke_on_the_daughter.jpg,http://www.simpsonsworld.com/video/310477379554
416,Papa Don't Leech,4/13/08,19,16,6.9,6.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/287/639/papa_dont_leach.jpg,http://www.simpsonsworld.com/video/283768387739
417,Apocalypse Cow,4/27/08,19,17,7.69,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/50/959/apocalypse_cow.jpg,http://www.simpsonsworld.com/video/302847555768
418,Any Given Sundance,5/4/08,19,18,6.18,7,http://static-media.fxx.com/img/FX_Networks_-_FXX/289/91/any_given_sundance.jpg,http://www.simpsonsworld.com/video/283769923976
419,Mona Leaves-a,5/11/08,19,19,6.02,7.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/92/678/Simpsons_19_19.jpg,http://www.simpsonsworld.com/video/299670083511
420,All About Lisa,5/18/08,19,20,6.11,6.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/544/211/all_about_lisa.jpg,http://www.simpsonsworld.com/video/294774851723
421,"Sex, Pies and Idiot Scrapes",9/28/08,20,1,9.3,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/741/843/sex_pies.jpg,http://www.simpsonsworld.com/video/311088195682
422,Lost Verizon,10/5/08,20,2,7.43,6.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/563/71/lost_verizon.jpg,http://www.simpsonsworld.com/video/304458307742
